             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
        14799606_3      epyc     HFas   ussiek  R 6-21:58:03      1 a049
        14799606_7      epyc     HFas   ussiek  R 6-17:50:00      1 a022
       14817340_98      epyc pepHsapE ktamagaw  R    2:59:11      1 a004
       14817340_97      epyc pepHsapE ktamagaw  R    3:14:42      1 a004
       14817340_96      epyc pepHsapE ktamagaw  R    3:20:43      1 a025
       14817340_95      epyc pepHsapE ktamagaw  R    3:22:13      1 a019
       14817340_94      epyc pepHsapE ktamagaw  R    3:43:44      1 a017
       14817340_92      epyc pepHsapE ktamagaw  R    3:55:15      1 a004
       14817340_93      epyc pepHsapE ktamagaw  R    3:55:15      1 a004
       14817340_91      epyc pepHsapE ktamagaw  R    4:33:17      1 a018
       14817340_90      epyc pepHsapE ktamagaw  R    4:38:48      1 a005
       14817340_88      epyc pepHsapE ktamagaw  R    5:08:50      1 a020
          14816100      epyc j4_Llat_ daikisat  R   16:37:52      1 a026
      14817340_105      epyc pepHsapE ktamagaw  R      40:00      1 a021
      14817340_104      epyc pepHsapE ktamagaw  R      46:00      1 a005
      14817340_103      epyc pepHsapE ktamagaw  R    1:33:05      1 a018
      14817340_102      epyc pepHsapE ktamagaw  R    1:51:37      1 a018
      14817340_101      epyc pepHsapE ktamagaw  R    2:25:39      1 a020
      14817340_100      epyc pepHsapE ktamagaw  R    2:39:40      1 a021
       14817340_99      epyc pepHsapE ktamagaw  R    2:44:10      1 a023
       14700703_69      epyc    AGfsc mmorita0  R    1:42:06      1 a004
        14799606_8      epyc     HFas   ussiek  R 6-11:18:20      1 a026
      14700715_165      epyc    DGfsc mmorita0  R    4:30:47      1 a020
      14700715_164      epyc    DGfsc mmorita0  R    4:49:18      1 a005
      14700715_163      epyc    DGfsc mmorita0  R    6:46:57      1 a019
       14700703_68      epyc    AGfsc mmorita0  R    6:54:57      1 a023
      14700715_161      epyc    DGfsc mmorita0  R   22:56:32      1 a023
       14700703_66      epyc    AGfsc mmorita0  R 1-00:02:07      1 a024
       14700703_67      epyc    AGfsc mmorita0  R    9:03:39      1 a026
      14700715_160      epyc    DGfsc mmorita0  R 1-00:39:09      1 a026
      14700715_162      epyc    DGfsc mmorita0  R    9:50:43      1 a004
      14700715_159      epyc    DGfsc mmorita0  R 1-01:23:12      1 a026
       14700703_65      epyc    AGfsc mmorita0  R 1-02:06:15      1 a026
       14700703_64      epyc    AGfsc mmorita0  R 1-04:38:23      1 a024
      14700715_158      epyc    DGfsc mmorita0  R 1-06:59:03      1 a021
       14700703_63      epyc    AGfsc mmorita0  R 1-08:28:43      1 a017
       14700703_62      epyc    AGfsc mmorita0  R 1-08:50:16      1 a017
      14700715_157      epyc    DGfsc mmorita0  R 1-09:32:21      1 a049
      14700715_156      epyc    DGfsc mmorita0  R 1-09:45:52      1 a049
       14700703_61      epyc    AGfsc mmorita0  R 1-11:48:36      1 a020
          14487278      epyc  medaka2  yaguchi  R 23-21:40:59      1 a019
       14700703_60      epyc    AGfsc mmorita0  R 1-13:17:51      1 a020
          14466037      epyc j2_hifia daikisat  R 27-01:34:57      1 a026
          13540340      epyc ddbj_fsr mem-hara  R 57-22:12:18      1 a025
          14838847      epyc j2_makep daikisat  R      24:58      1 a019
          14512191      epyc   medaka  yaguchi  R 21-15:46:52      1 a019
          14817367      epyc north_pa uemurayu  R   16:37:52      1 a019
      14814237_133      epyc braker3_ ashiashi  R    2:43:10      1 a005
          14120346      epyc dmrcalle huong-ta  R 38-02:49:02      1 a022
      14814237_137      epyc braker3_ ashiashi  R    1:39:06      1 a023
      14814237_135      epyc braker3_ ashiashi  R    1:49:07      1 a019
      14601308_601      epyc gfe_tran mizukura  R    8:06:03      1 a019
      14601308_596      epyc gfe_tran mizukura  R    8:40:06      1 a023
      14601308_551      epyc gfe_tran mizukura  R   18:10:03      1 a019
      14601308_548      epyc gfe_tran mizukura  R   18:35:06      1 a026
      14703616_238      epyc utgovl_L takahiro  R      54:01      1 a018
          14817139      epyc indus_ri uemurayu  R 2-15:32:20      1 a026
          14816337      epyc     OF-B ashiashi  R 3-04:38:15      1 a020
          13899790      epyc ddbj_PS_ mem-hara  R 40-05:30:29      1 a024
          14116620      epyc ddbj_PS_ mem-hara  R 31-04:09:06      1 a021
          14321962      epyc ddbj_PS. mem-hara  R 26-03:20:09      1 a021
          14123038      epyc RAxML-ng f-taisei  R 37-15:39:41      1 a019
          14126332      epyc RAxML-ng f-taisei  R 36-23:57:36      1 a017
          14123037      epyc RAxML-ng f-taisei  R 37-15:52:14      1 a019
          14461140      epyc RAxML-ng f-taisei  R 27-23:22:57      1 a023
          14461139      epyc RAxML-ng f-taisei  R 28-00:25:06      1 a020
          14461133      epyc RAxML-ng f-taisei  R 28-00:37:08      1 a018
          14838914    medium      met miya_kai PD       0:00      1 (Resources)
          14837409    medium      CMT rhatashi PD       0:00      1 (Priority)
          14838725    medium Srub_bra kosukesa PD       0:00      1 (Priority)
      14837396_[1]    medium gfe_gene    kfuku PD       0:00      1 (Priority)
14700704_[74-100%1    medium    CGfsc mmorita0 PD       0:00      1 (JobArrayTaskLimit)
14700717_[74-100%1    medium    RGfsc mmorita0 PD       0:00      1 (JobArrayTaskLimit)
          14837384    medium asmmeta5 b744rjcc PD       0:00      1 (Priority)
          14831748    medium Bismark_ akihisa-  R 1-02:30:17      1 m03
          14831505    medium mb_rbcL_ charales  R 1-05:09:23      1 m03
          14838883    medium    busco   biolum  R       2:56      1 m03
          14824335    medium stacks.s kondopep  R 2-12:56:32      1 m02
          14827649    medium 02_bwa_m kondopep  R 1-21:47:25      1 m02
          14838607    medium      BWA nhanahar  R    1:42:47      1 m01
          14837822    medium 03_GATK_ kondopep  R    9:53:58      1 m01
          14816133    medium raxml-ng tsushima  R 3-18:35:24      1 m02
          14831752    medium p3_dDoce t-kurita  R 1-02:18:02      1 m03
          14700117    medium ZZFATE_G  gen-ome  R 11-01:54:24      1 m01
          14765039    medium FATE_KMH hirose12  R 9-01:58:15      1 m02
          14828832    medium  mpileup jafawcet  R 1-05:31:46      1 m03
       14700704_73    medium    CGfsc mmorita0  R    2:35:40      1 m03
       14700704_72    medium    CGfsc mmorita0  R    2:38:10      1 m03
       14700704_71    medium    CGfsc mmorita0  R    4:05:46      1 m01
       14700704_70    medium    CGfsc mmorita0  R   20:37:55      1 m01
       14700717_69    medium    RGfsc mmorita0  R   20:47:10      1 m01
       14700717_73    medium    RGfsc mmorita0  R    7:37:30      1 m01
       14700717_68    medium    RGfsc mmorita0  R   23:06:29      1 m03
       14700704_69    medium    CGfsc mmorita0  R   23:51:07      1 m02
       14700717_67    medium    RGfsc mmorita0  R 1-00:29:19      1 m02
       14700704_68    medium    CGfsc mmorita0  R 1-00:32:16      1 m02
       14700717_66    medium    RGfsc mmorita0  R 1-00:56:33      1 m03
       14700717_65    medium    RGfsc mmorita0  R 1-01:40:53      1 m03
       14700717_72    medium    RGfsc mmorita0  R   10:24:46      1 m01
       14700704_67    medium    CGfsc mmorita0  R 1-01:53:57      1 m03
       14700704_66    medium    CGfsc mmorita0  R 1-03:27:09      1 m02
       14700704_65    medium    CGfsc mmorita0  R 1-04:46:25      1 m03
       14700717_70    medium    RGfsc mmorita0  R   15:16:14      1 m01
       14700717_71    medium    RGfsc mmorita0  R   15:16:14      1 m01
       14700704_64    medium    CGfsc mmorita0  R 1-08:22:43      1 m02
       14700717_64    medium    RGfsc mmorita0  R 1-10:44:29      1 m01
          14838018    medium     pasa  rfujita  R    8:12:03      1 m03
       14834623_22    medium Tong_Bom otsutaka  R    4:05:46      1 m01
